"navn","kommune","fylke","kategori","iua","lenke_faktaark","longitude","latitude","uuid_original","nodhavnnummer","forvaltningsstatus"
"Bjerkvik","Narvik","Nordland","1","Ofoten","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Nordland/Bjerkvik.pdf","17.535667280249744","68.53741157528556","25a71561-1e78-4683-98b6-fce51577c74a","-99","Vedtatt"
"Bogen","Evenes","Nordland","2","Ofoten","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Nordland/Bogen i Evenes.pdf","17.031465966335507","68.489507758646781","39bbb6c5-929a-4ffe-aa33-7b6424dca7f2","-99","Vedtatt"
"Vikholmen","Alstahaug","Nordland","2","Helgeland","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Nordland/Vikholmen.pdf","12.434751712708071","65.933528632890329","b3a0b8b1-21bd-4b1f-8c52-6ffe91bef4b4","-99","Vedtatt"
"Gleinskallen","Dønna","Nordland","2","Helgeland","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Nordland/Gleinskallen.pdf","12.635113727625821","66.166943550503831","030d8d66-dd4e-4d0c-976e-377987103ae1","-99","Vedtatt"
"Nerdal","Rana","Nordland","1","Rana","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Nordland/Nerdal.pdf","13.962711298628177","66.272262621516333","175a6dda-656a-466e-bd90-dac5023eec02","-99","Vedtatt"
"Utskarpen","Rana","Nordland","1","Rana","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Nordland/Utskarpen.pdf","13.587388142961203","66.27991978417208","8bcc42b0-35bf-4f9f-b3c1-bae4a08c4bfb","-99","Vedtatt"
"Landegode NØ","Bodø","Nordland","1","Salten","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Nordland/Landegode NO.pdf","14.432471839788148","67.431213840229404","c883fd4a-dd01-49c9-a0ad-90038c341507","-99","Vedtatt"
"Breivika","Bodø","Nordland","2","Salten","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Nordland/Breivika_Bodo.pdf","15.14037179331906","67.216475833447845","9d2949ad-6036-4fd5-8469-5410582b4267","-99","Vedtatt"
"Skjoldehavn","Andøy","Nordland","2","Lofoten og Vesterålen","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Nordland/Skjoldehavn.pdf","15.501790994790021","68.865383657983813","295d074b-2eb1-4777-9a38-f0fbc4771495","-99","Vedtatt"
"Gisløy","Øksnes","Nordland","1","Lofoten og Vesterålen","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Nordland/Gisloy.pdf","15.298576231186697","68.929595993789476","0280fb69-ec0f-4cf5-960a-b8d9598bc3ec","-99","Vedtatt"
"Frengenbukta","Ørland","Trøndelag","2","Sør-Trøndelag","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/MoreOgRomsdal/3162402_Frengenbukta.pdf","9.923333333412183","63.729999999966402","e68e6b69-c225-4f7f-a324-d8ca93e2457e","3162402","Vedtatt"
"Høydalsvika","Øksnes","Nordland","2","Lofoten og Vesterålen","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Nordland/Hoydalsvika.pdf","15.024994816539031","68.931150954450743","52f69751-ae22-489c-a7a3-3908be031cfc","-99","Vedtatt"
"Lekang","Hadsel","Nordland","2","Lofoten og Vesterålen","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Nordland/Lekang.pdf","14.966406609378245","68.515295263796119","9603119f-c0a1-4c12-bd58-e3a059004b4b","-99","Vedtatt"
"Haugbukta","Vestvågøy","Nordland","3","Lofoten og Vesterålen","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Nordland/Haugbukta.pdf","13.499479068353958","68.143344942354219","1af4368f-1e74-441b-8e89-39900377b40c","-99","Vedtatt"
"Nappstraumen","Flakstad","Nordland","2","Lofoten og Vesterålen","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Nordland/Nappstraumen.pdf","13.438941608801008","68.109691836619177","809966cf-f484-4264-bb14-2c39ea57e3cc","-99","Vedtatt"
"Skjelfjorden","Flakstad","Nordland","2","Lofoten og Vesterålen","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Nordland/Skjelfjorden.pdf","13.244513848064868","68.020154235683279","8ad6fcbc-072c-4f53-95a1-f3c3b9141511","-99","Vedtatt"
